Status 	WindowsMs 		ProgGlob 	ProgLow 	ProgHi  	Sec     	Ms      	MsDiff  	X_Pos_J1	Y_Pos_J2	Z_Pos_J3	C_RotPos_J4	A_TiltPos_J5	LaseOn	PowerFeedback
L		1631612263042	00030840	00006140	00000000	00000040	00000369	00000004	-70.007000	-155.900000	-83.900000	359.999000	0.001000	True	2519,9
L		1631612263058	00030842	00006142	00000000	00000040	00000373	00000004	-69.944000	-155.900000	-83.900000	359.999000	0.001000	True	2231,47
L		1631612263058	00030844	00006144	00000000	00000040	00000377	00000004	-69.882000	-155.900000	-83.900000	359.999000	0.001000	False	991,11
L		1631612263058	00030846	00006146	00000000	00000040	00000381	00000004	-69.822000	-155.900000	-83.900000	359.999000	0.001000	True	2212,86
L		1631612263058	00030848	00006148	00000000	00000040	00000385	00000004	-69.763000	-155.900000	-83.900000	359.999000	0.001000	False	2881,52
L		1631612263074	00030850	00006150	00000000	00000040	00000389	00000004	-69.703000	-155.900000	-83.900000	359.999000	0.001000	True	2370,09
L		1631612263074	00030852	00006152	00000000	00000040	00000393	00000004	-69.645000	-155.900000	-83.900000	359.999000	0.001000	False	2,1
L		1631612263074	00030854	00006154	00000000	00000040	00000397	00000004	-69.586000	-155.900000	-83.900000	359.999000	0.001000	False	179,19
L		1631612263074	00030856	00006156	00000000	00000040	00000401	00000004	-69.526000	-155.900000	-83.900000	359.999000	0.001000	False	216,12
L		1631612263089	00030858	00006158	00000000	00000040	00000405	00000004	-69.465000	-155.900000	-83.900000	359.999000	0.001000	True	1280,17
L		1631612263089	00030861	00006161	00000000	00000040	00000411	00000006	-69.376000	-155.900000	-83.900000	359.999000	0.001000	True	2850,48
L		1631612263089	00030863	00006163	00000000	00000040	00000415	00000004	-69.315000	-155.900000	-83.900000	359.999000	0.001000	True	1162,43
L		1631612263105	00030865	00006165	00000000	00000040	00000419	00000004	-69.255000	-155.900000	-83.900000	359.999000	0.001000	False	2072,21
L		1631612263105	00030867	00006167	00000000	00000040	00000423	00000004	-69.194000	-155.900000	-83.900000	359.999000	0.001000	True	360,5
L		1631612263105	00030869	00006169	00000000	00000040	00000427	00000004	-69.135000	-155.900000	-83.900000	359.999000	0.001000	False	345,68
L		1631612263105	00030871	00006171	00000000	00000040	00000431	00000004	-69.074000	-155.890000	-83.900000	359.999000	0.001000	False	294,83
L		1631612263120	00030873	00006173	00000000	00000040	00000435	00000004	-69.013000	-155.890000	-83.900000	359.999000	0.001000	True	687,4
L		1631612263120	00030876	00006176	00000000	00000040	00000441	00000006	-68.921000	-155.890000	-83.900000	359.999000	0.001000	True	2732,67
L		1631612263120	00030878	00006178	00000000	00000040	00000445	00000004	-68.860000	-155.900000	-83.900000	359.999000	0.001000	False	1348,42
L		1631612263120	00030880	00006180	00000000	00000040	00000449	00000004	-68.801000	-155.900000	-83.900000	359.999000	0.001000	False	1411,68
L		1631612263136	00030882	00006182	00000000	00000040	00000453	00000004	-68.742000	-155.900000	-83.900000	359.999000	0.001000	False	1862,58
L		1631612263136	00030884	00006184	00000000	00000040	00000457	00000004	-68.683000	-155.890000	-83.900000	359.999000	0.001000	False	2174,38
L		1631612263136	00030887	00006187	00000000	00000040	00000463	00000006	-68.593000	-155.890000	-83.900000	359.999000	0.001000	False	990,45
L		1631612263152	00030889	00006189	00000000	00000040	00000467	00000004	-68.535000	-155.890000	-83.900000	359.999000	0.001000	False	2434,39
L		1631612263152	00030891	00006191	00000000	00000040	00000471	00000004	-68.474000	-155.890000	-83.900000	359.999000	0.001000	True	1569,47
L		1631612263152	00030893	00006193	00000000	00000040	00000475	00000004	-68.415000	-155.890000	-83.900000	359.999000	0.001000	True	2149,51
L		1631612263152	00030895	00006195	00000000	00000040	00000479	00000004	-68.355000	-155.890000	-83.900000	359.999000	0.001000	True	2053,54
